"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19800","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23424","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19801","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23425","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19802","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23425","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19803","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23430","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19804","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23430","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19805","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23428","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19806","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23428","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19807","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23431","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19808","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23431","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19809","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23429","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19810","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23429","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19811","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23427","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
