"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2823","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-Jul-2026","Teji Kumawat","Payment Success","12250"
"2824","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Ashok Kumar","Payment Success","3420"
"2825","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Ashok Parihar","Payment Success","3420"
"2826","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Bichchu","Payment Success","3420"
"2827","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Dinesh Kumar","Payment Success","3420"
"2828","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Gendu","Payment Success","3420"
"2829","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","25-Feb-2026","Govind Ram","Payment Success","3420"
"2830","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Harsh Vardhan","Payment Success","3420"
"2831","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Indra","Payment Success","3420"
"2832","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Juja ram","Payment Success","4900"
"2833","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Kusham Kawnar","Payment Success","3420"
"2834","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Mani Devi","Payment Success","3420"
"2835","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Munni","Payment Success","3420"
"2836","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Niju Kanwar","Payment Success","3420"
"2837","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Payaswani","Payment Success","3420"
"2838","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","25-Feb-2026","Priyawat Singh","Payment Success","4750"
"2839","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Sita Devi","Payment Success","570"
"2840","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Vadano Devi","Payment Success","3420"
"2841","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/254938","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","20-Feb-2026","Mohan Singh","Payment Success","8400"
"2842","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP187/2025-2026/218868","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","23-May-2026","PRABANDHAK MADARSA DAWATE ISLAM NISWAN","Payment Success","300000"
"2843","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP187/2025-2026/218868","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","18-Jul-2026","PRABANDHAK MADARSA DAWATE ISLAM NISWAN","Payment Success","200000"
"2844","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP180/2025-2026/158194","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","06-Mar-2026","Shree Ram Prasad Gupta Intermediate College","Payment Success","1200000"
"2845","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP180/2025-2026/158194","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","19-Jun-2026","Shree Ram Prasad Gupta Intermediate College","Payment Success","800000"
"2846","Gujarat","Construction of rooms and halls in school and colleges","WS/MP891/2025-2026/179384","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","30-May-2026","TRAPAJ GRAM PANCHAYAT","Payment Success","500000"
"2847","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/145101","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","20-May-2026","sunil kumar","Payment Success","148008"
"2848","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234894","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","23-Feb-2026","sunil kumar","Payment Success","375000"
"2849","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234894","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","21-Apr-2026","sunil kumar","Payment Success","119209"
"2850","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234889","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","23-Feb-2026","sunil kumar","Payment Success","750000"
"2851","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234889","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","21-Apr-2026","sunil kumar","Payment Success","242250"
"2852","Punjab","Street lights","WS/MP141/2025-2026/227816","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","13-Aug-2026","Su Solartech Systems Pvt Ltd","Payment Success","190689"
"2853","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/223318","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","09-Jul-2026","MOHENDRA KALITA","Payment Success","259560"
"2854","Punjab","Creation of new ponds","WS/MP235/2025-2026/237803","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Mar-2026","The Gobind Dass Coop L and C Society Ltd","Payment Success","4371"
"2855","Punjab","Creation of new ponds","WS/MP235/2025-2026/237803","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Jun-2026","The Gobind Dass Coop L and C Society Ltd","Payment Success","3649181"
"2856","Punjab","Creation of new ponds","WS/MP235/2025-2026/237803","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Aug-2026","The Gobind Dass Coop L and C Society Ltd","Payment Success","6452172"
"2857","Punjab","Creation of new ponds","WS/MP235/2025-2026/237804","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Mar-2026","The Gobind Dass Coop L and C Society Ltd","Payment Success","4250"
"2858","Punjab","Creation of new ponds","WS/MP235/2025-2026/237804","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jun-2026","The Gobind Dass Coop L and C Society Ltd","Payment Success","6196345"
"2859","Kerala","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP102/2024-2025/143933","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","24-Feb-2026","DINU FRANCIS KALLOOR","Payment Success","100140"
"2860","Punjab","Purchase of training equipment","WS/MP844/2025-2026/260389","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Mascot Enterprises Bti","Payment Success","499995"
"2861","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2025-2026/266721","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Wanglam Konyak","Payment Success","1000000"
"2862","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238264","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","17-Jul-2026","TAHASILDAR RANPUR","Payment Success","58"
"2863","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238264","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","17-Jul-2026","MISC ACCOUNT BDO RANPUR","Payment Success","2014"
"2864","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238246","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","09-Jul-2026","MISC ACCOUNT BDO RANPUR","Payment Success","14428"
"2865","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18302/2025-2026/215125","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","05-Mar-2026","Maa Sharda Associates","Payment Success","1490037"
"2866","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/241416","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Baba Sarwan Nath Welding Works","Payment Success","38550"
"2867","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/241416","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Baba Sarwan Nath Welding Works","Payment Success","13550"
"2868","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/241416","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Baba Sarwan Nath Welding Works","Payment Success","8188"
"2869","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238246","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","09-Jul-2026","JAYAKRUSHNA MOHANTA","Payment Success","182962"
"2870","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238264","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","17-Jul-2026","JAYAKRUSHNA MOHANTA","Payment Success","195925"
"2871","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/241416","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Shri Radhe Shyam Enterprises","Payment Success","30087"
"2872","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213244","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","25-Feb-2026","Sagar So Roshan Lal Mstery Chhangla","Payment Success","60884"
"2873","Tamil Nadu","Construction of water tanks","WS/MP166/2025-2026/234020","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","25-Feb-2026","R PRIYADHARSHINI","Payment Success","2298371"
"2874","Tamil Nadu","Street lights","WS/MP166/2025-2026/236559","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","29-Apr-2026","BDO PUDUCHATRAM BP NSD","Payment Success","306470"
"2875","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/210885","Jaipur Gramin(DISTRICT COLLECTOR Jaipur Gramin_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","15-Mar-2026","KALYAN CONSTRUCTION COMPANY","Payment Success","499304"
"2876","Tamil Nadu","Development of public parks","WS/MP166/2025-2026/219251","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","02-Mar-2026","PM CONSTRUCTION","Payment Success","299877"
"2877","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP846/2025-2026/193448","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","24-Feb-2026","J J Constructions","Payment Success","2950502"
"2878","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18431/2025-2026/249778","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","26-Feb-2026","Const of road cum guard wall with RCC Culvert at Bank Colony","Payment Success","1200000"
"2879","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18284/2025-2026/259167","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","06-Mar-2026","GRAM PANCHAYAT MOTHA JP BATIYAGAD","Payment Success","350000"
"2880","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18284/2025-2026/259167","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","19-Jun-2026","GRAM PANCHAYAT MOTHA JP BATIYAGAD","Payment Success","150000"
"2881","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/204300","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","27-Feb-2026","N Ramachandran","Payment Success","410692"
"2882","Tripura","Development of playground","WS/MP18412/2025-2026/176718","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","23-Feb-2026","ABHIJIT GUHA","Payment Success","1285890"
"2883","Assam","Construction of Railway Halt Station","WS/MP073/2025-2026/250884","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","23-Feb-2026","Construction of road near pijush Das House to J Pegu house at Pub Siva Nagar","Payment Success","1200000"
"2884","Assam","Construction of Railway Halt Station","WS/MP073/2025-2026/250884","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","10-Aug-2026","Construction of road near pijush Das House to J Pegu house at Pub Siva Nagar","Payment Success","800000"
"2885","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18374/2025-2026/214031","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","26-Feb-2026","GOWRI SATISH","Payment Success","423508"
"2886","Gujarat","Construction of rooms and halls in school and colleges","WS/MP889/2025-2026/197774","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Mar-2026","MALUPUR GRUP GRAM PANCHAYAT","Payment Success","500000"
"2887","Gujarat","Construction of rooms and halls in school and colleges","WS/MP889/2025-2026/197773","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Mar-2026","MALUPUR GRUP GRAM PANCHAYAT","Payment Success","500000"
"2888","Gujarat","Construction of rooms and halls in school and colleges","WS/MP889/2025-2026/197775","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Mar-2026","MALUPUR GRUP GRAM PANCHAYAT","Payment Success","500000"
"2889","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137753","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","03-Apr-2026","MS RANA ENTERPRISES","Payment Success","29000"
"2890","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/137754","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","24-Feb-2026","MS RANA ENTERPRISES","Payment Success","43500"
"2891","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP145/2025-2026/232968","CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","09-Jul-2026","shree ram enterprises","Payment Success","501418"
"2892","Punjab","Setting up public non-conventional energy plants","WS/MP235/2025-2026/267416","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Chiarman Dev Samaj College For Women","Payment Success","2500000"
"2893","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/267415","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Chiarman Dev Samaj College For Women","Payment Success","1500000"
"2894","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267414","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Chiarman Dev Samaj College For Women","Payment Success","1000000"
"2895","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267414","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","22-Jul-2026","Chiarman Dev Samaj College For Women","Payment Success","1000000"
"2896","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/248636","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","25-Feb-2026","Sarpanch Gram Panchayat Chandwad","Payment Success","280000"
"2897","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/248636","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","23-Jun-2026","Sarpanch Gram Panchayat Chandwad","Payment Success","118849"
"2898","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248778","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","218288"
"2899","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248778","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2900","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248778","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136856"
"2901","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","216819"
"2902","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2903","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136856"
"2904","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","215350"
"2905","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2906","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2907","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248781","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","216819"
"2908","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248781","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2909","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248781","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2910","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248782","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","218288"
"2911","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248782","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2912","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248782","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2913","Uttar Pradesh","Purchase of mobile water tankers","WS/MP019/2025-2026/248783","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","26-Feb-2026","ANJALI ENTERPRISES","Payment Success","215350"
"2914","Uttar Pradesh","Purchase of mobile water tankers","WS/MP019/2025-2026/248783","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2915","Uttar Pradesh","Purchase of mobile water tankers","WS/MP019/2025-2026/248783","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2916","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/230423","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","27-Feb-2026","SUDHIR NARAYANRAO DESHMUKH","Payment Success","1991704"
