"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"22815","Punjab","Construction of buildings for sports facilities","WS/MP18157/2025-2026/188730","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","24-Mar-2026","Bath Interlock Tiles","Payment Success","243625"
"22816","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18157/2025-2026/188720","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","20-Mar-2026","Bath Interlock Tiles","Payment Success","161997"
"22817","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18157/2025-2026/188716","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","20-Mar-2026","Bath Interlock Tiles","Payment Success","136490"
"22818","Punjab","Providing drains and gutters for public drainage","WS/MP18157/2025-2026/188718","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","09-Apr-2026","Bath Interlock Tiles","Payment Success","86400"
"22819","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18157/2025-2026/193158","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","25-Mar-2026","Bath Interlock Tiles","Payment Success","136490"
"22820","Assam","Construction of culverts and bridges","WS/MP18026/2025-2026/213991","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","08-Jan-2026","TULUNGA NARZARY","Payment Success","1199393"
"22821","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/162900","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","04-Nov-2025","SARPANCHSHREE GRAM PANCHAYAT DABHALA","Payment Success","200000"
"22822","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2025-2026/156636","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","04-Nov-2025","DORA GRAM PANCHAYAT","Payment Success","498189"
"22823","Gujarat","Construction of community centers and community halls","WS/MP578/2025-2026/248742","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","02-Apr-2026","DORA GRAM PANCHAYAT","Payment Success","198354"
"22824","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP444/2025-2026/231600","HARDA(District Collector Harda_IDA)","Durga Das Uikey","BETUL(ST)","18-Nov-2025","Rathor Samaj Harda","Payment Success","300000"
"22825","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP444/2025-2026/231600","HARDA(District Collector Harda_IDA)","Durga Das Uikey","BETUL(ST)","06-Apr-2026","Rathor Samaj Harda","Payment Success","174821"
"22826","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/172629","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","31-Oct-2025","SINGHU MURMU","Payment Success","189573"
"22827","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/172628","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","24-Mar-2026","SINGHU MURMU","Payment Success","175301"
"22828","Assam","Development of public parks","WS/MP18020/2025-2026/207094","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","PHANI BHUSAN CHOUDHURY","BARPETA","28-Nov-2025","INFRASTRUCTURE DEV OF SWAHID BEDI AT","Payment Success","300000"
"22829","Assam","Construction of community centers and community halls","WS/MP18020/2025-2026/166117","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","PHANI BHUSAN CHOUDHURY","BARPETA","29-Oct-2025","CONST OF COMMUNITY HALL 3RD PHASE NEAR","Payment Success","900000"
"22830","Andaman And Nicobar Islands","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18275/2025-2026/188528","SOUTH ANDAMANS(Implementing District Authority(SA))","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","25-Jun-2026","Haneefa Construction","Payment Success","803540"
"22831","Andaman And Nicobar Islands","Security gates in streets/public place for safety purpose","WS/MP18275/2025-2026/175561","SOUTH ANDAMANS(Implementing District Authority(SA))","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","09-Apr-2026","Haneefa Construction","Payment Success","1189292"
"22832","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172353","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","05-Feb-2026","Shiv Traders","Payment Success","15120"
"22833","Punjab","Development of public parks","WS/MP18157/2024-2025/172494","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","12-Nov-2025","Shiv Traders","Payment Success","32025"
"22834","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","27-Jan-2026","Shiv Traders","Payment Success","28548"
"22835","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","29-Oct-2025","Shiv Traders","Payment Success","1080"
"22836","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","29-Oct-2025","Shiv Traders","Payment Success","38400"
"22837","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","29-Oct-2025","Shiv Traders","Payment Success","38355"
"22838","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","29-Oct-2025","SB Bricks Gram Udyog","Payment Success","38247"
"22839","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","27-Jan-2026","SB Bricks Gram Udyog","Payment Success","14999"
"22840","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172486","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","13-Feb-2026","SB Bricks Gram Udyog","Payment Success","22499"
"22841","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2025-2026/209176","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","24-Apr-2026","SB Bricks Gram Udyog","Payment Success","14999"
"22842","Punjab","Providing supply pipelines for drinking water","WS/MP380/2025-2026/209175","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","19-Mar-2026","SB Bricks Gram Udyog","Payment Success","37498"
"22843","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/209177","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","28-Apr-2026","SB Bricks Gram Udyog","Payment Success","14999"
"22844","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172486","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","13-Feb-2026","Deepak Sales Company","Payment Success","19999"
"22845","Punjab","Development of public parks","WS/MP18157/2024-2025/172494","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","12-Nov-2025","Deepak Sales Company","Payment Success","19999"
"22846","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172489","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","29-Oct-2025","Deepak Sales Company","Payment Success","23999"
"22847","Himachal Pradesh","Development of playfields and sports grounds","WS/MP598/2025-2026/180512","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","24-Dec-2025","BDO Shillai","Payment Success","100000"
"22848","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP598/2026-2027/272370","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","10-Apr-2026","BDO Shillai","Payment Success","100000"
"22849","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP598/2024-2025/155310","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","31-Dec-2025","BDO Shillai","Payment Success","200000"
"22850","Himachal Pradesh","Construction of community centers and community halls","WS/MP598/2025-2026/239535","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","31-Dec-2025","BDO Shillai","Payment Success","300000"
"22851","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP598/2025-2026/180510","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","24-Dec-2025","BDO Shillai","Payment Success","200000"
"22852","Himachal Pradesh","Development of playfields and sports grounds","WS/MP598/2025-2026/180509","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","24-Dec-2025","BDO Shillai","Payment Success","200000"
"22853","Himachal Pradesh","Construction of community centers and community halls","WS/MP598/2025-2026/180513","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","24-Dec-2025","BDO Shillai","Payment Success","200000"
"22854","Himachal Pradesh","Construction of community centers and community halls","WS/MP598/2025-2026/180511","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","31-Dec-2025","BDO Shillai","Payment Success","200000"
"22855","Andhra Pradesh","Construction of buildings for community cultural activities","WS/MP403/2024-2025/163576","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Magunta Sreenivasulu Reddy","ONGOLE","31-Dec-2025","KANDE SRINIVASULU","Payment Success","992801"
"22856","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP446/2025-2026/229240","PANNA(DISTRICT COLLECTOR PANNA_IDA)","Vishnu Dutt Sharma","KHAJURAHO","13-Feb-2026","Gram Panchayat Saleha","Payment Success","720000"
"22857","Telangana","Construction of community centers and community halls","WS/MP18389/2025-2026/166941","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","KADIYAM KAVYA","WARANGEL(SC)","28-Oct-2025","Jyohti Constructions","Payment Success","991965"
"22858","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/211790","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","27-Oct-2025","KRISHNAKUMAR G","Payment Success","1000000"
"22859","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18181/2025-2026/185236","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","28-Nov-2025","KRISHNAKUMAR G","Payment Success","1500000"
"22860","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/198677","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","04-Nov-2025","Kandari Assocaite","Payment Success","399403"
"22861","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP393/2025-2026/181265","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","27-Oct-2025","R Saravanan Contractor","Payment Success","1449247"
"22862","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219540","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","12-Dec-2025","Enok A Sangma","Payment Success","75000"
"22863","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219540","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","14-Feb-2026","Enok A Sangma","Payment Success","52500"
"22864","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219540","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","19-Mar-2026","Enok A Sangma","Payment Success","22500"
"22865","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219538","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","11-Dec-2025","Manu B Marak","Payment Success","75000"
"22866","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219538","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","14-Feb-2026","Manu B Marak","Payment Success","52500"
"22867","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219538","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","19-Mar-2026","Manu B Marak","Payment Success","22500"
"22868","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219537","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","11-Dec-2025","Gellen Ch Marak","Payment Success","75000"
"22869","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219537","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","14-Feb-2026","Gellen Ch Marak","Payment Success","52500"
"22870","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/219537","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","19-Mar-2026","Gellen Ch Marak","Payment Success","22500"
"22871","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162982","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","07-Feb-2026","Rajiv Kumar","Payment Success","92843"
"22872","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162982","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","09-Feb-2026","Rajiv Kumar","Payment Success","97118"
"22873","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162982","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","10-Feb-2026","Rajiv Kumar","Payment Success","98109"
"22874","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162985","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","16-Apr-2026","Rajiv Kumar","Payment Success","74238"
"22875","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162985","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","24-Apr-2026","Rajiv Kumar","Payment Success","473060"
"22876","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162987","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","16-Feb-2026","Rajiv Kumar","Payment Success","89592"
"22877","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162987","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","16-Feb-2026","Rajiv Kumar","Payment Success","96594"
"22878","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162987","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","07-Mar-2026","Rajiv Kumar","Payment Success","98389"
"22879","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162987","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","01-Apr-2026","Rajiv Kumar","Payment Success","191264"
"22880","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162986","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","13-Jan-2026","Rajiv Kumar","Payment Success","460970"
"22881","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/162986","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","09-Mar-2026","Rajiv Kumar","Payment Success","487497"
"22882","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18069/2025-2026/162983","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","16-Jan-2026","Rajiv Kumar","Payment Success","84756"
"22883","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18069/2025-2026/162983","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","07-Feb-2026","Rajiv Kumar","Payment Success","83630"
"22884","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18183/2024-2025/143390","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","28-Oct-2025","A SURESH","Payment Success","199680"
"22885","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201027","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","15-Dec-2025","Beeru Enterprises","Payment Success","379891"
"22886","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201027","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","13-Feb-2026","Beeru Enterprises","Payment Success","126202"
"22887","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/200712","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","02-Dec-2025","Beeru Enterprises","Payment Success","584223"
"22888","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/200712","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","13-Feb-2026","Beeru Enterprises","Payment Success","194164"
"22889","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP598/2025-2026/227285","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","03-Nov-2025","Neri","Payment Success","100000"
"22890","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP598/2025-2026/227285","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","30-Jan-2026","Neri","Payment Success","100000"
"22891","Odisha","Lighting of public spaces","WS/MP18147/2025-2026/185554","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","28-Oct-2025","AGARWALLA LIGHT HOUSE","Payment Success","300000"
"22892","Odisha","Lighting of public spaces","WS/MP18147/2025-2026/190713","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","28-Oct-2025","AGARWALLA LIGHT HOUSE","Payment Success","300000"
"22893","Odisha","Lighting of public spaces","WS/MP18147/2025-2026/190715","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","28-Oct-2025","AGARWALLA LIGHT HOUSE","Payment Success","300000"
"22894","Odisha","Lighting of public spaces","WS/MP18147/2025-2026/185557","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","28-Oct-2025","AGARWALLA LIGHT HOUSE","Payment Success","600000"
"22895","Odisha","Lighting of public spaces","WS/MP18147/2025-2026/190712","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","28-Oct-2025","AGARWALLA LIGHT HOUSE","Payment Success","300000"
"22896","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/217014","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","28-Oct-2025","Hardev singh","Payment Success","22998"
"22897","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/217014","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","28-Oct-2025","Jai durga","Payment Success","177002"
"22898","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/219488","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","28-Oct-2025","Jai durga","Payment Success","192536"
"22899","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/219488","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","20-Jan-2026","Jai durga","Payment Success","217002"
"22900","Punjab","Development of playfields and sports grounds","WS/MP18311/2025-2026/193282","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","28-Oct-2025","JORAWAR TRADING CO","Payment Success","47933"
"22901","Andhra Pradesh","Development of public parks","WS/MP18018/2025-2026/204859","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Appalanaidu Kalisetti","VIZIANAGARAM","30-Nov-2025","Vytal Srinivasa Chowdary","Payment Success","992839"
"22902","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/175577","MORBI(District collector Morbi_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","29-Oct-2025","MERUPAR GRAM PANCHAYAT","Payment Success","249965"
"22903","Gujarat","Providing supply pipelines for drinking water","WS/MP18326/2025-2026/175572","MORBI(District collector Morbi_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","16-Feb-2026","NAVA GHANTILA GRAM PANCHAYAT","Payment Success","249617"
"22904","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Sushila","Payment Success","10830"
"22905","Tamil Nadu","Development of public parks","WS/MP18174/2025-2026/184631","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","13-Nov-2025","R R THULASI BUILDERS INDIA PRIVATE LIMITED","Payment Success","7032423"
"22906","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2024-2025/140034","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","04-Nov-2025","BS AND SONS","Payment Success","66750"
"22907","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2024-2025/140034","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","15-Apr-2026","BS AND SONS","Payment Success","15050"
"22908","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/178985","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","08-Jan-2026","SUBHASAGOUDA PATIL","Payment Success","374992"
"22909","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2024-2025/140034","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","15-Apr-2026","TARSEM BRICKES COMPANY","Payment Success","21300"
"22910","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2024-2025/140034","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","04-Nov-2025","TARSEM BRICKES COMPANY","Payment Success","30000"
"22911","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Manesh","Payment Success","10830"
"22912","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Suman Devi","Payment Success","8550"
"22913","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221287","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","Girraj prasad meena","Payment Success","16000"
"22914","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221287","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","MAHENDRA BUNKAR","Payment Success","6270"
"22915","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Bimala","Payment Success","10830"
"22916","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221287","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","MANOJ KUMHAR","Payment Success","6270"
