"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"56888","West Bengal","Lighting of public spaces","WS/MP479/2024-2025/138313","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","22-Aug-2025","JYOTI ENTERPRISE","Payment Success","259864"
"56889","West Bengal","Lighting of public spaces","WS/MP479/2024-2025/140161","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","22-Aug-2025","JYOTI ENTERPRISE","Payment Success","259864"
"56890","West Bengal","Lighting of public spaces","WS/MP479/2024-2025/140165","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","22-Aug-2025","JYOTI ENTERPRISE","Payment Success","129932"
"56891","West Bengal","Lighting of public spaces","WS/MP479/2024-2025/140168","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","22-Aug-2025","JYOTI ENTERPRISE","Payment Success","259864"
"56892","West Bengal","Street lights","WS/MP479/2025-2026/160374","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","20-Jan-2026","JYOTI ENTERPRISE","Payment Success","454736"
"56893","Telangana","Lighting of public spaces","WS/MP770/2025-2026/190324","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","13-Oct-2025","DEE Operation Rural Karimnagar","Payment Success","278075"
"56894","Rajasthan","Construction of community centers and community halls","WS/MP18161/2024-2025/138079","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","13-Jan-2025","paswan","Payment Success","3990"
"56895","Tamil Nadu","Construction of community centers and community halls","WS/MP18177/2025-2026/146616","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","22-Dec-2025","PAARI CONSTRUCTION","Payment Success","1700000"
"56896","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2025-2026/140329","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","01-Jul-2025","Sureshkumar V","Payment Success","1571791"
"56897","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2025-2026/140329","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","23-Jan-2026","Sureshkumar V","Payment Success","927358"
"56898","Punjab","Construction of toilet blocks","WS/MP18158/2024-2025/141777","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Feb-2025","DURGA TRADERS","Payment Success","15855"
"56899","Punjab","Construction of toilet blocks","WS/MP18158/2024-2025/141777","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","18-Feb-2025","DURGA TRADERS","Payment Success","3599"
"56900","West Bengal","Construction of common work sheds/ common covered sitting area","WS/MP479/2024-2025/138682","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Saumitra khan","BISHNUPUR(SC)","29-Jan-2026","ARIJIT CHAUDHURY","Payment Success","647613"
"56901","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/213630","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","13-Oct-2025","RM MP AGRO SATNA","Payment Success","2941600"
"56902","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195670","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","27-Jun-2025","RM MP AGRO SATNA","Payment Success","163424"
"56903","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195676","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","17-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56904","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195672","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","27-Jun-2025","RM MP AGRO SATNA","Payment Success","163424"
"56905","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195702","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56906","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195703","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","18-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56907","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195700","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","18-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56908","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195701","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","18-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56909","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195696","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","15-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56910","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195698","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","17-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56911","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195699","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","17-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56912","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/195690","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","18-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
"56913","Madhya Pradesh","Purchase of mobile water tankers","WS/MP642/2025-2026/196552","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","24-Jul-2025","RM MP AGRO SATNA","Payment Success","163424"
